doc_id,source,section,text,age_range
WHO_001,WHO Healthy Diet,Key Facts,Highlights the role of diet in preventing malnutrition and NCDs; stresses early‑life dietary habits.,All ages
WHO_002,WHO Healthy Diet,Core Principles,"Defines adequacy, balance, moderation and diversity as foundations of a healthy diet.",All ages
WHO_003,WHO Healthy Diet,Carbohydrates,"Recommends unrefined carbohydrates as major energy sources; encourages whole grains, vegetables, fruits and pulses.",All ages; specific values for 2–9 and 10+
WHO_004,WHO Healthy Diet,Fruits & Vegetables,Recommends ≥400 g/day for adults; lower amounts for children (250–350 g depending on age).,Children 2–9; 10+
WHO_005,WHO Healthy Diet,Dietary Fibre,Recommends ≥25 g/day for adults; lower amounts for children (15–21 g depending on age).,Children 2–9; 10+
WHO_006,WHO Healthy Diet,Sugars,Advises limiting free sugars to <10% of energy intake; <5% provides additional benefits.,All ages
WHO_007,WHO Healthy Diet,Fats,Recommends limiting total fat to <30% of energy; saturated fat <10%; trans fat <1%; emphasises unsaturated fats.,All ages
WHO_008,WHO Healthy Diet,Protein,Suggests 10–15% of energy from protein; higher needs in adolescence and active individuals.,All ages; adolescents
WHO_009,WHO Healthy Diet,Salt/Sodium & Potassium,Recommends <5 g/day salt for adults; lower for children; encourages potassium‑rich foods.,All ages; children lower
WHO_010,WHO Healthy Diet,Micronutrients,Emphasises importance of vitamins and minerals; highlights global deficiency prevalence.,All ages
WHO_011,WHO Healthy Diet,Infant & Young Child Feeding,Recommends exclusive breastfeeding for 6 months; continued breastfeeding to 2 years; no added salt/sugar in complementary foods.,0–2 years
WHO_012,WHO Healthy Diet,Food Environment,"Describes how social, economic and environmental factors shape diets; calls for multisectoral action.",All ages
WHO_013,WHO Healthy Diet,Policy Recommendations,"Lists evidence‑based actions for governments to promote healthy diets (taxes, reformulation, school standards).",All ages
WHO_014,WHO Healthy Diet,WHO Response,"Summarises WHO’s global strategies, guidelines and monitoring systems for improving diets.",All ages
